id,latin,family,common,space,origin,climate,ideallight,toleratedlight,watering,insects,diseases,use,tempmax.celsius,tempmax.fahrenheit,tempmin.celsius,tempmin.fahrenheit
0,Aeschynanthus lobianus,Gesneriaceae,Phormium,medium,Java,Tropical,high,Direct sunlight,medium,"['Mealy bug', 'Aphid', 'Thrips']",,"['Hanging', 'Flower', 'Tertiary']",32,89.6,14,57.2
0,Aeschynanthus lobianus,Gesneriaceae,Pieris japonica,medium,Java,Tropical,high,Direct sunlight,medium,"['Mealy bug', 'Aphid', 'Thrips']",,"['Hanging', 'Flower', 'Tertiary']",32,89.6,14,57.2
0,Aeschynanthus lobianus,Gesneriaceae,Platycodon,medium,Java,Tropical,medium,Direct sunlight,medium,"['Mealy bug', 'Aphid', 'Thrips']",,"['Hanging', 'Flower', 'Tertiary']",32,89.6,14,57.2
0,Aeschynanthus lobianus,Gesneriaceae,Polemonium,medium,Java,Tropical,medium,Direct sunlight,medium,"['Mealy bug', 'Aphid', 'Thrips']",,"['Hanging', 'Flower', 'Tertiary']",32,89.6,14,57.2
0,Aeschynanthus lobianus,Gesneriaceae,Potentilla,medium,Java,Tropical,medium,Direct sunlight,medium,"['Mealy bug', 'Aphid', 'Thrips']",,"['Hanging', 'Flower', 'Tertiary']",32,89.6,14,57.2
0,Aeschynanthus lobianus,Gesneriaceae,Pulmonaria,medium,Java,Tropical,low,Direct sunlight,medium,"['Mealy bug', 'Aphid', 'Thrips']",,"['Hanging', 'Flower', 'Tertiary']",32,89.6,14,57.2
0,Aeschynanthus lobianus,Gesneriaceae,Rudbeckia,medium,Java,Tropical,high,Direct sunlight,low,"['Mealy bug', 'Aphid', 'Thrips']",,"['Hanging', 'Flower', 'Tertiary']",32,89.6,14,57.2
0,Aeschynanthus lobianus,Gesneriaceae,Salvia nemorosa,medium,Java,Tropical,medium,Direct sunlight,medium,"['Mealy bug', 'Aphid', 'Thrips']",,"['Hanging', 'Flower', 'Tertiary']",32,89.6,14,57.2
0,Aeschynanthus lobianus,Gesneriaceae,Saxifraga,medium,Java,Tropical,medium,Direct sunlight,medium,"['Mealy bug', 'Aphid', 'Thrips']",,"['Hanging', 'Flower', 'Tertiary']",32,89.6,14,57.2
0,Aeschynanthus lobianus,Gesneriaceae,Sedum autumn joy,low,Java,Tropical,high,Direct sunlight,low,"['Mealy bug', 'Aphid', 'Thrips']",,"['Hanging', 'Flower', 'Tertiary']",32,89.6,14,57.2
0,Aeschynanthus lobianus,Gesneriaceae,Sempervivum,low,Java,Tropical,high,Direct sunlight,low,"['Mealy bug', 'Aphid', 'Thrips']",,"['Hanging', 'Flower', 'Tertiary']",32,89.6,14,57.2
0,Aeschynanthus lobianus,Gesneriaceae,Stachys byzantina,medium,Java,Tropical,medium,Direct sunlight,medium,"['Mealy bug', 'Aphid', 'Thrips']",,"['Hanging', 'Flower', 'Tertiary']",32,89.6,14,57.2
0,Aeschynanthus lobianus,Gesneriaceae,Tiarella,medium,Java,Tropical,low,Direct sunlight,medium,"['Mealy bug', 'Aphid', 'Thrips']",,"['Hanging', 'Flower', 'Tertiary']",32,89.6,14,57.2
0,Aeschynanthus lobianus,Gesneriaceae,Verbascum,medium,Java,Tropical,high,Direct sunlight,low,"['Mealy bug', 'Aphid', 'Thrips']",,"['Hanging', 'Flower', 'Tertiary']",32,89.6,14,57.2
0,Aeschynanthus lobianus,Gesneriaceae,Veronica spicata,medium,Java,Tropical,high,Direct sunlight,low,"['Mealy bug', 'Aphid', 'Thrips']",,"['Hanging', 'Flower', 'Tertiary']",32,89.6,14,57.2
0,Aeschynanthus lobianus,Gesneriaceae,Viburnum dwarf,medium,Java,Tropical,high,Direct sunlight,medium,"['Mealy bug', 'Aphid', 'Thrips']",,"['Hanging', 'Flower', 'Tertiary']",32,89.6,14,57.2
0,Aeschynanthus lobianus,Gesneriaceae,Weigela,medium,Java,Tropical,high,Direct sunlight,medium,"['Mealy bug', 'Aphid', 'Thrips']",,"['Hanging', 'Flower', 'Tertiary']",32,89.6,14,57.2
0,Aeschynanthus lobianus,Gesneriaceae,Yucca filamentosa,medium,Java,Tropical,high,Direct sunlight,low,"['Mealy bug', 'Aphid', 'Thrips']",,"['Hanging', 'Flower', 'Tertiary']",32,89.6,14,57.2
0,Aeschynanthus lobianus,Gesneriaceae,Zantedeschia,low,Java,Tropical,medium,Direct sunlight,medium,"['Mealy bug', 'Aphid', 'Thrips']",,"['Hanging', 'Flower', 'Tertiary']",32,89.6,14,57.2
0,Aeschynanthus lobianus,Gesneriaceae,Zauschneria,medium,Java,Tropical,medium,Direct sunlight,medium,"['Mealy bug', 'Aphid', 'Thrips']",,"['Hanging', 'Flower', 'Tertiary']",32,89.6,14,57.2
0,Aeschynanthus lobianus,Gesneriaceae,Zizia aurea,medium,Java,Tropical,medium,Direct sunlight,medium,"['Mealy bug', 'Aphid', 'Thrips']",,"['Hanging', 'Flower', 'Tertiary']",32,89.6,14,57.2
